SKU,Nombre,Precio,Existencias,Costo,Proveedor,Status,Vencimiento,CategoriaPrincipal,Subcategoria,UnidadMedida
L014,Primer Fit me! Alta duracion Love is beauty 24hr, 36.00,1229.0, 30.00,VB,Active,2026-01-01,Maquillaje,Primers de maquillaje,12
LC1161,Aceite Labial Magic LC1161, 13.00,2544.0, 11.00,VB,Active,2028-06-01,Maquillaje,Labios,24
LC1164,Aceite Labial Magic LC1164, 13.00,1072.0, 11.00,VB,Active,2028-07-01,Maquillaje,Labios,24
LC1197,Aceite Labial Magic LC1197, 13.00,288.0, 11.00,VB,Active,2028-07-01,Maquillaje,Labios,24
LC1201,Aceite Labial Magic LC1201, 13.00,1240.0, 11.00,VB,Active,2028-06-01,Maquillaje,Labios,30
LC1230,Balsamo Para Labios Magic LC1230, 13.00,1404.0, 11.00,VB,Active,2028-07-01,Maquillaje,Labios,12
LC1218,Aceite Labial Magic LC1218, 13.00,24.0, 11.00,VB,Active,2028-07-01,Maquillaje,Labios,24
LC1220,Aceite Labial Magic LC1220, 13.00,168.0, 11.00,VB,Active,2028-07-01,Maquillaje,Labios,24
LC1204,Aceite Labial Magic LC1204, 13.00,352.0, 11.00,VB,Active,2028-06-01,Maquillaje,Labios,24
LC1207,Brillo Para Labios Mate Magic Be sweet, 13.00,0.0, 11.00,VB,Inactive,2028-07-01,Maquillaje,Labios,24
LC1227,Brillo Para Labios Mate Magic color perfecto, 13.00,0.0, 11.00,VB,Inactive,2028-10-01,Maquillaje,Labios,24
LC1268,Brillo Para Labios Magic paleta corazón, 13.00,0.0, 11.00,VB,Inactive,2028-08-01,Maquillaje,Labios,24
LC929,Brillo para Labios Magic corazón love, 13.00,0.0, 11.00,VB,Inactive,2028-04-01,Maquillaje,Labios,24
LC618,Brillo De Labios Magic gatita, 13.00,0.0, 11.00,VB,Inactive,2028-05-01,Maquillaje,Labios,24
LO903,Polvo suelto banana Scanlon, 32.00,36.0, 27.00,VB,Active,2027-01-01,Maquillaje,Polvo compacto,12
LS112,Balsamo Para Labios Magic paleta espiral, 13.00,792.0, 11.00,VB,Active,2028-05-01,Maquillaje,Labios,24
M0045,Polvo Compacto Doble Million Pauline 24hr, 53.00,96.0, 45.00,VB,Active,2026-04-01,Maquillaje,Polvo compacto,12
